Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Ant-Man and the Wasp: Quantumania,"$456,027,697","$190,205,913",41.7%,"$265,821,784",58.3%
2,Pathaan,"$126,830,000","$17,343,730",13.7%,"$94,954,628",74.9%
3,Creed III,"$114,283,990","$71,183,990",62.3%,"$43,100,000",37.7%
4,Chebi: My Fluffy Friend,"$90,730,505",-,-,"$90,730,505",100%
5,Titanic 25 Year Anniversary,"$61,134,986","$15,020,404",24.6%,"$46,114,582",75.4%
6,Cocaine Bear,"$56,007,851","$44,643,040",79.7%,"$11,364,811",20.3%
7,Knock at the Cabin,"$53,732,586","$35,270,330",65.6%,"$18,462,256",34.4%
8,Magic Mike's Last Dance,"$53,331,942","$25,631,942",48.1%,"$27,700,000",51.9%
9,Plane,"$51,577,483","$32,111,181",62.3%,"$19,466,302",37.7%
10,Missing,"$42,570,050","$32,270,050",75.8%,"$10,300,000",24.2%
11,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$41,298,065","$10,117,806",24.5%,"$31,180,259",75.5%
12,Asterix & Obelix: The Middle Kingdom,"$39,660,021",-,-,"$39,660,021",100%
13,80 for Brady,"$38,768,363","$38,768,363",100%,-,-
14,Operation Fortune: Ruse de guerre,"$34,963,371","$3,832,922",11%,"$31,130,449",89%
15,Jesus Revolution,"$32,600,950","$32,600,950",100%,-,-
16,Mummies,"$28,800,000",-,-,"$28,800,000",100%
17,BTS: Yet to Come in Cinemas,"$28,074,462","$8,093,270",28.8%,"$19,981,192",71.2%
18,Alibi.com 2,"$24,672,294",-,-,"$24,672,294",100%
19,The House of No Man,"$19,241,650",-,-,"$19,241,650",100%
20,The Legend & Butterfly,"$16,087,771",-,-,"$16,087,771",100%
21,A Guilty Conscience,"$14,174,965",-,-,"$14,174,965",100%
22,The Point Men,"$13,430,716",-,-,"$13,430,716",100%
23,Die Drei ??? - Erbe des Drachen,"$10,127,867",-,-,"$10,127,867",100%
24,House Party,"$9,204,929","$9,002,247",97.8%,"$202,682",2.2%
25,Rafadan Tayfa Galaktik Tayfa,"$8,823,237",-,-,"$8,823,237",100%
26,Epic Tales,"$8,702,896",-,-,"$8,702,896",100%
27,Father & Soldier,"$8,546,858",-,-,"$8,546,858",100%
28,The Wandering Earth II,"$8,176,569","$4,961,039",60.7%,"$3,215,530",39.3%
29,Eiga 'Ichikei no karasu',"$7,377,092",-,-,"$7,377,092",100%
30,What's Love Got to Do with It?,"$6,736,484",-,-,"$6,736,484",100%
31,Pravednik,"$6,013,263",-,-,"$6,013,263",100%
32,Infelices para Siempre,"$5,602,272",-,-,"$5,602,272",100%
33,The Chosen Season 3 Finale,"$5,589,142","$5,525,069",98.9%,"$64,073",1.1%
34,Marlowe,"$5,281,975","$4,284,938",81.1%,"$997,037",18.9%
35,Phantom,"$5,173,638",-,-,"$5,173,638",100%
36,Shylock's Children,"$5,102,646",-,-,"$5,102,646",100%
37,Chi Chi Em Em 2,"$5,097,243",-,-,"$5,097,243",100%
38,Infinity Pool,"$5,078,400","$5,078,400",100%,-,-
39,Me contro Te - il Film: Missione Giungla,"$5,031,684",-,-,"$5,031,684",100%
40,Someday or One Day,"$4,900,443",-,-,"$4,900,443",100%
41,Detective Conan: Episode of Ai Haibara ~ Black Iron Mystery Train,"$4,632,353",-,-,"$4,632,353",100%
42,Winnie the Pooh: Blood and Honey,"$4,038,082","$1,750,639",43.4%,"$2,287,443",56.6%
43,O chem govoryat muzhchiny. Prostyye udovolstviya,"$3,862,016",-,-,"$3,862,016",100%
44,Left Behind: Rise of the Antichrist,"$3,649,422","$3,649,422",100%,-,-
45,Blue Giant,"$3,588,680",-,-,"$3,588,680",100%
46,Kutsal Damacana 4,"$3,491,880",-,-,"$3,491,880",100%
47,Neposlushnaya,"$3,228,647",-,-,"$3,228,647",100%
48,Switch,"$3,146,901",-,-,"$3,146,901",100%
49,Un homme heureux,"$3,145,831",-,-,"$3,145,831",100%
50,Maybe I Do,"$3,007,419","$1,293,722",43%,"$1,713,697",57%
51,Tramite amicizia,"$2,921,881",-,-,"$2,921,881",100%
52,The Communion Girl,"$2,912,086",-,-,"$2,912,086",100%
53,Two Tickets to Greece,"$2,744,074",-,-,"$2,744,074",100%
54,Yudo: The Way of the Bath,"$2,681,954",-,-,"$2,681,954",100%
